accuracy,completeness,fluency,prosodic,total,words,speaker,gender,age,split,id
9,10.0,9,9,9,"[{'accuracy': 10, 'phones': array(['L', 'EH0', 'T', 'S'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': ""LET'S"", 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['G', 'OW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'GO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'TO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'AH0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'THE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['R', 'EH1', 'S', 'T', 'R', 'UW0', 'M'], dtype=object), 'phones-accuracy': array([2. , 2. , 2. , 2. , 2. , 2. , 1.8]), 'stress': 10, 'text': 'RESTROOM', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010115
9,10.0,9,9,8,"[{'accuracy': 10, 'phones': array(['DH', 'EH0', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'THEN', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['M', 'AY0', 'K'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'MIKE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'AO0', 'K', 'S'], dtype=object), 'phones-accuracy': array([2. , 1.8, 2. , 2. ]), 'stress': 10, 'text': 'WALKS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'TO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['K', 'AO1', 'F', 'IY0'], dtype=object), 'phones-accuracy': array([2. , 1.2, 1.6, 1.6]), 'stress': 10, 'text': 'COFFEE', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010121
9,10.0,9,9,9,"[{'accuracy': 10, 'phones': array(['S', 'OW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'SO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['M', 'AE1', 'R', 'IH0'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'MARY', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'EH0', 'N', 'T'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'WENT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AA0', 'N'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'ON', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'TO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['S', 'T', 'AH1', 'D', 'IY0'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8, 2. , 2. ]), 'stress': 10, 'text': 'STUDY', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010122
8,10.0,8,8,8,"[{'accuracy': 8, 'phones': array(['K', 'EH0', 'T'], dtype=object), 'phones-accuracy': array([2. , 1.6, 1.8]), 'stress': 10, 'text': 'KATE', 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['G', 'AA0', 'T'], dtype=object), 'phones-accuracy': array([2. , 1.6, 2. ]), 'stress': 10, 'text': 'GOT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'AH0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'THE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 8, 'phones': array(['T', 'AH0', 'M', 'EY1', 'T', 'OW0'], dtype=object), 'phones-accuracy': array([2. , 2. , 2. , 1. , 1.8, 2. ]), 'stress': 10, 'text': 'TOMATO', 'total': 8, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010133
8,10.0,9,9,8,"[{'accuracy': 10, 'phones': array(['T', 'IY1', 'N', 'AH0'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'TINA', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['L', 'AH0', 'V', 'Z'], dtype=object), 'phones-accuracy': array([2. , 2. , 2. , 1.6]), 'stress': 10, 'text': 'LOVES', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['EH1', 'G', 'P', 'L', 'AE0', 'N', 'T'], dtype=object), 'phones-accuracy': array([1.6, 2. , 2. , 2. , 2. , 2. , 2. ]), 'stress': 10, 'text': 'EGGPLANT', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010135
8,10.0,9,9,8,"[{'accuracy': 10, 'phones': array(['D', 'AO1', 'R', 'AH0'], dtype=object), 'phones-accuracy': array([2. , 1.8, 2. , 2. ]), 'stress': 10, 'text': 'DORA', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['IH0', 'Z'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'IS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['N', 'AA0', 'T'], dtype=object), 'phones-accuracy': array([2. , 1.6, 2. ]), 'stress': 10, 'text': 'NOT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AH0'], dtype=object), 'phones-accuracy': array([2.]), 'stress': 10, 'text': 'A', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['K', 'L', 'IY1', 'N', 'ER0'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'CLEANER', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010140
9,10.0,9,9,9,"[{'accuracy': 10, 'phones': array(['M', 'AA0', 'R', 'K'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8, 1.6]), 'stress': 10, 'text': 'MARK', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['L', 'IH0', 'V', 'D'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'LIVED', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['IH0', 'N'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'IN', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['N', 'UW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'NEW', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['Y', 'AO0', 'K'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'YORK', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010145
8,10.0,9,8,8,"[{'accuracy': 10, 'phones': array(['B', 'AA0', 'B'], dtype=object), 'phones-accuracy': array([2. , 1.4, 2. ]), 'stress': 10, 'text': 'BOB', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['L', 'IH0', 'V', 'Z'], dtype=object), 'phones-accuracy': array([2. , 2. , 2. , 1.6]), 'stress': 10, 'text': 'LIVES', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['IH0', 'N'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'IN', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 8, 'phones': array(['K', 'AY1', 'R', 'OW0'], dtype=object), 'phones-accuracy': array([2. , 1.6, 1.6, 1.4]), 'stress': 10, 'text': 'CAIRO', 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['N', 'AW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'NOW', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010149
10,10.0,10,10,10,"[{'accuracy': 10, 'phones': array(['B', 'AY0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'BYE', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010168
9,10.0,10,9,9,"[{'accuracy': 8, 'phones': array(['T', 'R', 'IY0', 'Z'], dtype=object), 'phones-accuracy': array([2. , 2. , 2. , 1.2]), 'stress': 10, 'text': 'TREES', 'total': 8, 'mispronunciations': array([], dtype=object)}]",0001,m,6,train,000010173
8,10.0,6,7,7,"[{'accuracy': 10, 'phones': array(['M', 'AY0', 'K'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'MIKE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['L', 'AY0', 'K', 'S'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'LIKES', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'AH0'], dtype=object), 'phones-accuracy': array([1.6, 2. ]), 'stress': 10, 'text': 'THE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'AY0', 'T'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'WHITE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['W', 'AH0', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'ONE', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0005,m,6,train,000050003
7,10.0,7,7,7,"[{'accuracy': 10, 'phones': array(['IH0', 'T', 'S'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'ITS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['N', 'EY0', 'M'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'NAME', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 7, 'phones': array(['IH0', 'Z'], dtype=object), 'phones-accuracy': array([0.8, 1.4]), 'stress': 10, 'text': 'IS', 'total': 7, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['S', 'EY0'], dtype=object), 'phones-accuracy': array([2. , 1.4]), 'stress': 10, 'text': 'SAY', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0005,m,6,train,000050010
7,10.0,6,6,6,"[{'accuracy': 10, 'phones': array(['B', 'IH1', 'L', 'IY0'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'BILLY', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 8, 'phones': array(['L', 'AH0', 'V', 'Z'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8, 1.4]), 'stress': 10, 'text': 'LOVES', 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['AH0', 'M', 'EH1', 'R', 'IH0', 'K', 'AH0'], dtype=object), 'phones-accuracy': array([2. , 2. , 2. , 2. , 2. , 1.2, 2. ]), 'stress': 10, 'text': 'AMERICA', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0005,m,6,train,000050024
8,10.0,8,8,8,"[{'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'TWO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'TWO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['EY0', 'T'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'EIGHT', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['S', 'EH1', 'V', 'N'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8, 2. ]), 'stress': 10, 'text': 'SEVEN', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0005,m,6,train,000050028
7,10.0,8,7,7,"[{'accuracy': 10, 'phones': array(['F', 'AO0', 'R'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8]), 'stress': 10, 'text': 'FOUR', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['F', 'AY0', 'V'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8]), 'stress': 10, 'text': 'FIVE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['F', 'AO0', 'R'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8]), 'stress': 10, 'text': 'FOUR', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['S', 'EH1', 'V', 'N'], dtype=object), 'phones-accuracy': array([2. , 1.8, 1.8, 2. ]), 'stress': 10, 'text': 'SEVEN', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0005,m,6,train,000050038
8,10.0,8,7,8,"[{'accuracy': 10, 'phones': array(['F', 'AY0', 'V'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.6]), 'stress': 10, 'text': 'FIVE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 8, 'phones': array(['TH', 'R', 'IY0'], dtype=object), 'phones-accuracy': array([1.6, 2. , 1.8]), 'stress': 10, 'text': 'THREE', 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['N', 'AY0', 'N'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'NINE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['Z', 'IH', 'AH1', 'OW0'], dtype=object), 'phones-accuracy': array([2. , 1.8, 1.8, 2. ]), 'stress': 10, 'text': 'ZERO', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0005,m,6,train,000050040
7,10.0,8,7,7,"[{'accuracy': 10, 'phones': array(['S', 'IH0', 'K', 'S'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2.]), 'stress': 10, 'text': 'SIX', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['F', 'AY0', 'V'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.8]), 'stress': 10, 'text': 'FIVE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['TH', 'R', 'IY0'], dtype=object), 'phones-accuracy': array([1.4, 2. , 2. ]), 'stress': 10, 'text': 'THREE', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0005,m,6,train,000050047
7,10.0,9,8,7,"[{'accuracy': 10, 'phones': array(['T', 'UW0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'TWO', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 8, 'phones': array(['F', 'AY0', 'V'], dtype=object), 'phones-accuracy': array([2. , 2. , 1.4]), 'stress': 10, 'text': 'FIVE', 'total': 8, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['EY0', 'T'], dtype=object), 'phones-accuracy': array([2. , 1.8]), 'stress': 10, 'text': 'EIGHT', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0005,m,6,train,000050049
9,10.0,8,8,8,"[{'accuracy': 10, 'phones': array(['W', 'IY0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'WE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['L', 'EH0', 'S'], dtype=object), 'phones-accuracy': array([2. , 1.6, 2. ]), 'stress': 10, 'text': 'LESS', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['M', 'IY0', 'T'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'MEAT', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0005,m,6,train,000050055
7,10.0,7,6,7,"[{'accuracy': 10, 'phones': array(['D', 'OW0', 'S'], dtype=object), 'phones-accuracy': array([2. , 1.6, 2. ]), 'stress': 10, 'text': 'DOSE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['M', 'AY0', 'K'], dtype=object), 'phones-accuracy': array([1.6, 1.4, 2. ]), 'stress': 10, 'text': 'MIKE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['L', 'AY0', 'K'], dtype=object), 'phones-accuracy': array([2., 2., 2.]), 'stress': 10, 'text': 'LIKE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['DH', 'AH0'], dtype=object), 'phones-accuracy': array([2., 2.]), 'stress': 10, 'text': 'THE', 'total': 10, 'mispronunciations': array([], dtype=object)}
 {'accuracy': 10, 'phones': array(['HH', 'AE1', 'M', 'B', 'ER0', 'G', 'ER0'], dtype=object), 'phones-accuracy': array([2., 2., 2., 2., 2., 2., 2.]), 'stress': 10, 'text': 'HAMBURGER', 'total': 10, 'mispronunciations': array([], dtype=object)}]",0005,m,6,train,000050078
